UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0  2022 ?        00:13:47 /usr/lib/systemd/systemd --system --deserialize 20
root          2      0  0  2022 ?        00:00:09 [kthreadd]
root          3      2  0  2022 ?        00:01:58 [ksoftirqd/0]
root          5      2  0  2022 ?        00:00:00 [kworker/0:0H]
root          7      2  0  2022 ?        00:00:35 [migration/0]
root          8      2  0  2022 ?        00:00:00 [rcu_bh]
root          9      2  0  2022 ?        16:08:35 [rcu_sched]
root         10      2  0  2022 ?        00:01:46 [watchdog/0]
root         11      2  0  2022 ?        00:01:23 [watchdog/1]
root         12      2  0  2022 ?        00:00:33 [migration/1]
root         13      2  0  2022 ?        00:00:33 [ksoftirqd/1]
root         15      2  0  2022 ?        00:00:00 [kworker/1:0H]
root         16      2  0  2022 ?        00:01:20 [watchdog/2]
root         17      2  0  2022 ?        00:00:42 [migration/2]
root         18      2  0  2022 ?        00:00:15 [ksoftirqd/2]
root         20      2  0  2022 ?        00:00:00 [kworker/2:0H]
root         21      2  0  2022 ?        00:01:23 [watchdog/3]
root         22      2  0  2022 ?        00:00:33 [migration/3]
root         23      2  0  2022 ?        00:00:10 [ksoftirqd/3]
root         25      2  0  2022 ?        00:00:00 [kworker/3:0H]
root         26      2  0  2022 ?        00:01:22 [watchdog/4]
root         27      2  0  2022 ?        00:00:22 [migration/4]
root         28      2  0  2022 ?        00:00:08 [ksoftirqd/4]
root         30      2  0  2022 ?        00:00:00 [kworker/4:0H]
root         31      2  0  2022 ?        00:01:22 [watchdog/5]
root         32      2  0  2022 ?        00:00:23 [migration/5]
root         33      2  0  2022 ?        00:00:08 [ksoftirqd/5]
root         35      2  0  2022 ?        00:00:00 [kworker/5:0H]
root         36      2  0  2022 ?        00:01:21 [watchdog/6]
root         37      2  0  2022 ?        00:00:21 [migration/6]
root         38      2  0  2022 ?        00:00:07 [ksoftirqd/6]
root         40      2  0  2022 ?        00:00:00 [kworker/6:0H]
root         41      2  0  2022 ?        00:01:25 [watchdog/7]
root         42      2  0  2022 ?        00:00:19 [migration/7]
root         43      2  0  2022 ?        00:00:06 [ksoftirqd/7]
root         45      2  0  2022 ?        00:00:00 [kworker/7:0H]
root         46      2  0  2022 ?        00:01:24 [watchdog/8]
root         47      2  0  2022 ?        00:00:17 [migration/8]
root         48      2  0  2022 ?        00:00:05 [ksoftirqd/8]
root         50      2  0  2022 ?        00:00:00 [kworker/8:0H]
root         51      2  0  2022 ?        00:01:24 [watchdog/9]
root         52      2  0  2022 ?        00:00:16 [migration/9]
root         53      2  0  2022 ?        00:00:05 [ksoftirqd/9]
root         55      2  0  2022 ?        00:00:00 [kworker/9:0H]
root         56      2  0  2022 ?        00:01:24 [watchdog/10]
root         57      2  0  2022 ?        00:00:15 [migration/10]
root         58      2  0  2022 ?        00:00:05 [ksoftirqd/10]
root         60      2  0  2022 ?        00:00:00 [kworker/10:0H]
root         61      2  0  2022 ?        00:01:25 [watchdog/11]
root         62      2  0  2022 ?        00:00:15 [migration/11]
root         63      2  0  2022 ?        00:00:04 [ksoftirqd/11]
root         65      2  0  2022 ?        00:00:00 [kworker/11:0H]
root         66      2  0  2022 ?        00:01:24 [watchdog/12]
root         67      2  0  2022 ?        00:00:14 [migration/12]
root         68      2  0  2022 ?        00:00:04 [ksoftirqd/12]
root         70      2  0  2022 ?        00:00:00 [kworker/12:0H]
root         71      2  0  2022 ?        00:01:24 [watchdog/13]
root         72      2  0  2022 ?        00:00:13 [migration/13]
